No.,ジャンル,日本語,タイ語読み,タイ語文字
61,ホテルに泊まる,ボーイ,bɔ̌ɔy,บ๋อย
61,ホテルに泊まる,チップ,thí pɔɔ,ทิป
61,ホテルに泊まる,非常口,thaaŋ ʔɔ̀ɔk chùk chə̌ən,ทางออกฉุกเฉิน
61,ホテルに泊まる,水が出ない,náam mây lǎy,น้ำไม่ไหล
62,レストランで,レストラン,ráan ʔaa hǎan,ร้านอาหาร
62,レストランで,タイ料理,ʔaa hǎan thay,อาหารไทย
62,レストランで,洋食,ʔaa hǎan fa ràŋ,อาหารฝรั่ง
62,レストランで,中華料理,ʔaa kaan ciin,อาการจีน
62,レストランで,和食,ʔaa hǎan yîi pùn,อาหารญี่ปุ่น
62,レストランで,日本料理レストラン,ráan ʔaa hǎan yîi pùn,ร้านอาหารญี่ปุ่น
62,レストランで,中華料理レストラン,ráan ʔaa hǎan ciin,ร้านอาหารจีน
62,レストランで,タイ料理レストラン,ráan ʔaa hǎan thay,ร้านอาหารไทย
62,レストランで,高級レストラン,phót taa khaa,ภตตาคาร
62,レストランで,野外レストラン,sǔan ʔaa hǎan,สวนอาหาร
62,レストランで,ビュッフェ,bùf fêʔ,บุฟเฟ่ต์
62,レストランで,メニュー,mee nuu,เมนู
62,レストランで,デザート,khɔ̌ɔŋ wǎan,ของหวาน
62,レストランで,定食・コース料理,ʔaa hǎan chút,อาหารชุด
62,レストランで,ウェイター・ウェイトレス,phá nák ŋaan sə̀əf,พนักงานเสิร์ฟ
62,レストランで,セルフサービス,bɔɔ rí kaan tua ʔeeŋ,บริการตัวเอง
62,レストランで,どうぞ,chəən,เชิญ
62,レストランで,おらくに,taam sa baay,ตามสบาย
62,レストランで,注文,sàŋ,สั่ง
62,レストランで,勘定する,chék,เช็ค
62,レストランで,おつりはいりません,mây tɔ̂ŋ thɔɔn,ไม่ต้องทอน
63,果物とシーフード,果物,phǒn lá máay,ผลไม้
63,果物とシーフード,ミカン,sôm,ส้ม
63,果物とシーフード,バナナ,klûay,กล้วย
63,果物とシーフード,スイカ,tɛɛŋ moo,แตงโม
63,果物とシーフード,リンゴ,ʔɛ̀ɛp pə̂ən,แอปเปิ้ล
63,果物とシーフード,ランブータン,ŋɔ́ʔ,เงาะ
63,果物とシーフード,マンゴー,máʔ mûaŋ,มะม่วง
63,果物とシーフード,マンゴスチン,maŋ khút,มังคุด
63,果物とシーフード,パパイヤ,máʔ láʔ kɔɔ,มะละกอ
63,果物とシーフード,ラムヤイ,lam yay,ลำไย
63,果物とシーフード,ノイナー,nɔ́ɔy nàa,น้อยหน่า
63,果物とシーフード,ファラン,fa ràŋ,ฝรั่ง
63,果物とシーフード,パイナップル,sàp pà rót,สัปปะรด
63,果物とシーフード,ドリアン,thúʔ rian,ทุเรียน
63,果物とシーフード,ぶどう,ʔà ŋùn,องุ่น
63,果物とシーフード,ヤシの実,máʔ phráaw,มะพร้าว
63,果物とシーフード,イカ,plaa mɯ̀k,ปลาหมึก
63,果物とシーフード,エビ,kûŋ,กุ้ง
63,果物とシーフード,カニ,puu,ปู
63,果物とシーフード,貝,hɔ̌ɔy,หอย
63,果物とシーフード,カキ,hɔ̌ɔy naaŋ rom,หอยนางรม
64,何か飲み物でも,お湯,nám rɔ́ɔn,น้ำร้อน
64,何か飲み物でも,茶,nám chaa,น้ำชา
64,何か飲み物でも,紅茶,chaa fa ràŋ,ชาฝรั่ง
64,何か飲み物でも,コーヒー,kaa fɛɛ,กาแฟ
64,何か飲み物でも,ホットコーヒー,kaa fɛɛ rɔ́ɔn,กาแฟร้อน
64,何か飲み物でも,お酒,lâw,เหล้า
64,何か飲み物でも,ビール,bia,เบียร์
64,何か飲み物でも,ワイン,way,ไวน์
64,何か飲み物でも,ウィスキー,wít sa kîi,วิสกี้
64,何か飲み物でも,ウィスキーの水割り,wá sà kîi náam,วสกี้น้ำ
64,何か飲み物でも,ウィスキーのソーダ割り,wít sa kîi soo daa,วิสกี้โซดา
64,何か飲み物でも,ブランデー,maw,เมา
64,何か飲み物でも,日本酒,nom sòt,นมสด
64,何か飲み物でも,つまみ・肴,klɛ̂ɛm,แกล้ม
64,何か飲み物でも,酔っぱらう,maw,เมา
64,何か飲み物でも,牛乳,nom sòt,นมสด
64,何か飲み物でも,生オレンジジュース,nám sôm khán,น้ำส้มคั้น
64,何か飲み物でも,コーラ,khóok / khoo lâa,โค้ก/โคล่า
64,何か飲み物でも,タイ風のアイスコーヒー,ʔoo líaŋ,โอเลี้ยง
64,何か飲み物でも,アイスクリーム,ʔay sa khriim,ไอศครีม
64,何か飲み物でも,乾杯する,dɯ̀ɯm chay yoo,ดื่มไชโย
65,お金と銀行,お金,ŋən,เงิน
65,お金と銀行,現金,ŋən sòt,เงินสด
65,お金と銀行,小切手,chék,เช็ค
65,お金と銀行,トラベラーズチェック,chék dəən thaaŋ,เช็คเดินทาง
65,お金と銀行,署名する,sen chɯ̂ɯ,เซ็นชื่อ
65,お金と銀行,紙幣,bɛ́ŋ,แบงค์
65,お金と銀行,硬貨,rǐan,เหรียญ
65,お金と銀行,両替する,lɛ̂ɛk ŋən,แลกเงิน
65,お金と銀行,交換レート,ʔàt raa lɛ̂ɛk plìan,อัตราแลกเปลี่ยน
65,お金と銀行,銀行,thá naa khaan,ธนาคาร
65,お金と銀行,送金,sòŋ ŋən,ส่งเงิน
65,お金と銀行,預金通帳,sà mùt ban chii thá naa khaan,สมุดบัญชีธนาคาร
65,お金と銀行,利子,dɔ̀ɔk bîa,ดอกเบี้ย
65,お金と銀行,金庫,tûu séep,ตู้เซฟ
65,お金と銀行,預金,ŋən fàak,เงินฝาก
65,お金と銀行,電卓,khrɯ̂aŋ khít lêek,เครื่องคิดเลข
65,お金と銀行,負債・借金,nîi sǐn,หนี้สิน
65,お金と銀行,バーツ,bàat,บาท
65,お金と銀行,サタン,sa taaŋ,สตางค์
65,お金と銀行,円,yeen,เยน
65,お金と銀行,ドル,dɔn lâa,ดอลลาร์
66,犯罪にあったら,どろぼう,kha mooy,ขโมย
66,犯罪にあったら,泥棒にあう・盗まれる,doon kha mooy khɔ̌ɔŋ,โดนขโมยของ
66,犯罪にあったら,強盗,coon,โจร
66,犯罪にあったら,やくざ,nák leeŋ,นักเลง
66,犯罪にあったら,悪者,phûu ráay,ผู้ร้าย
66,犯罪にあったら,助けて！,chûay dûay,ช่วยด้วย
66,犯罪にあったら,逮捕される,doon càp,โดนจับ
66,犯罪にあったら,懲役になる,tìt khúk,ติดคุก
66,犯罪にあったら,証拠,làk thǎan,หลักฐาน
66,犯罪にあったら,白状する,sǎa rá phâap,สารภาพ
66,犯罪にあったら,逃げる,nǐi,หนี
66,犯罪にあったら,道に迷う,lǒŋ thaaŋ,หลงทาง
66,犯罪にあったら,だます,lɔ̀ɔk,หลอก
66,犯罪にあったら,警察署,sa thǎa nii tam rùat,สถานีตำรวจ
66,犯罪にあったら,留置場,rooŋ phák,โรงพัก
66,犯罪にあったら,弁護士,thá naay khwaam,ทนายความ
66,犯罪にあったら,検事,ʔay yá kaan,อัยการ
66,犯罪にあったら,判事,phûu phíʔ phâak sǎa,ผู้พิพากษา
66,犯罪にあったら,アヘン・ケシ,fìn,ฝิ่น
66,犯罪にあったら,マリファナ,kan chaa,กัญชา
66,犯罪にあったら,死刑,pra hǎan chii wít,ประหารชีวิต
67,買い物をする,市場,ta làat,ตลาด
67,買い物をする,スーパーマーケット,súp pə̂ə maak kêt,ซุปเปอร์มาร์คเกต
67,買い物をする,デパート,sàp phá sǐn kháa,สรรพสินค้า
67,買い物をする,買う,sɯ́ɯ,ซื้อ
67,買い物をする,ツケで買う,sɯ́ɯ chɯ̂a,ซื้อเชื่อ
67,買い物をする,お得意さん・顧客,lûuk kháa,ลูกค้า
67,買い物をする,売る,khǎay,ขาย
67,買い物をする,値段,raa khaa,ราคา
67,買い物をする,値切る,tɔ̀ɔ raa khaa,ต่อราคา
67,買い物をする,値引きする,lót raa khaa,ลดราคา
67,買い物をする,お金を払う,càay ŋən,จ่ายเงิน
67,買い物をする,おつり,ŋən thɔɔn,เงินทอน
67,買い物をする,値段が高い,phɛɛŋ,แพง
67,買い物をする,値段が安い・正しい,thùuk,ถูก
67,買い物をする,タダ,frii,ฟรี
67,買い物をする,節約する,pra yàt,ประหยัด
67,買い物をする,浪費する,plɯaŋ,เปลือง
67,買い物をする,プレゼント,khɔ̌ɔŋ khǔan,ของขวญ
67,買い物をする,ローンで払う,phɔ̀ɔn,ผ่อน
67,買い物をする,おまけ,thɛ̌ɛm,แถม
67,買い物をする,カード,kàad,การ์ด
68,郵便を出す,郵便局・郵便,pray sa nii,ไปรษณีย์
68,郵便を出す,ポスト,tûu pray sa nii,ตู้ไปรษณีย์
68,郵便を出す,手紙,còt mǎay,จดหมาย
68,郵便を出す,はがき,pray sa nii yáʔ bàt,ไปรษณียบัตร
68,郵便を出す,絵はがき,póot sa káat,ไปสการ์ด
68,郵便を出す,便せん,kra dàat khǐan còt mǎay,กระดาษเขียนจดหมาย
68,郵便を出す,封筒,sɔɔŋ còt mǎay,ซองจดหมาย
68,郵便を出す,宛名を書く,càa nâa sɔɔŋ,จ่าหน้าซอง
68,郵便を出す,郵便番号,rá hàt pray sa nii,รหัสไปรษณีย์
68,郵便を出す,切手,sa tɛɛm,แสตมป์
68,郵便を出す,切手を貼る,pìt sa tɛɛm,ปิดแสตมป์
68,郵便を出す,手紙を出す,sòŋ còt mǎay,ส่งจดหมาย
68,郵便を出す,手紙を受け取る,dây ráp còt mǎay,ได้รับจดหมาย
68,郵便を出す,小包,phát sa dùʔ,พัสดุ
68,郵便を出す,航空書簡,còt mǎay ʔaa kàat,จดหมายอากาศ
68,郵便を出す,書留にする,loŋ tháʔ bian,ลงทะเบียน
68,郵便を出す,航空便の,thaaŋ ʔaa kàat,ทางอากาศ
68,郵便を出す,船便の,thaaŋ rɯa,ทางเรือ
68,郵便を出す,郵便為替,thá naa nát,ธนาณัติ
68,郵便を出す,電報,thoo rá lêek,โทรเลข
68,郵便を出す,年賀状,sɔ̌ɔ khɔɔ sɔ̌ɔ,ส.ค.ส.
69,電話をかける,電話,thoo rá sàp,โทรศัพท์
69,電話をかける,電話番号,bəə thoo rá sàp,เบอร์โทรศัพท์
69,電話をかける,電話をかける,thoo,โทร
69,電話をかける,リンリン,kríŋ kríŋ,กริ๊งๆ
69,電話をかける,もしもし,han lǒo,ฮัลโหล
69,電話をかける,話し中,sǎay mây wâaŋ,สายไม่ว่าง
69,電話をかける,電話をかけ間違える,thoo phìt,โทรผิด
69,電話をかける,電話をかけ直す,thoo mày,โทรใหม่
69,電話をかける,電話に出る,ráp thoo rá sàp,รับโทรศัพท์
69,電話をかける,電話で話す,phûut thoo rá sàp,พูดโทรศัพท์
69,電話をかける,受話器,hǔu thoo rá sàp,หูโทรศัพท์
69,電話をかける,電話を切る,waaŋ hǔu thoo rá sàp,วางหูโทรศัพท์
69,電話をかける,オペレーター,ʔoo pəə ree tə̂ə,โอเปอเรเตอร์
69,電話をかける,内線,sǎay nay,สายใน
69,電話をかける,外線,sǎay nɔ̂ɔk,สายนอก
69,電話をかける,電電公社,ʔoŋ kaan thoo rá sàp,องค์การโทรศัพท์
69,電話をかける,電話料金,khaa thoo rá sàp,ค่าโทรศัพท์
69,電話をかける,電話帳,sa mùt bəə thoo rá sàp,สมุดเบอร์โทรศัพท์
69,電話をかける,長距離電話,thoo rá sàp thaaŋ klay,โทรศัพท์ทางไกล
69,電話をかける,コレクトコール,thoo rá sàp kèp ŋən plaay thaaŋ,โทรศัพท์เก็บเงินปลายทาง
69,電話をかける,国際電話,thoo rá sàp ráʔ wàaŋ pra thêet,โทรศัพท์ระหว่างประเทศ
70,病院へ行く,病院,rooŋ phá yaa baan,โรงพยาบาล
70,病院へ行く,入院する,khâw rooŋ phá yaa baan,เข้าโรงพยาบาล
70,病院へ行く,退院する,ʔɔ̀ɔk càak rooŋ phá yaa baan,ออกจากโรงพยาบาล
70,病院へ行く,医者・先生,khun mɔ̌ɔ naay phɛ̂ɛt,คุณหมอ นายแพทย์
70,病院へ行く,看護婦,naaŋ phá yaa baan,นางพยาบาล
70,病院へ行く,内科,phɛ̌ɛn kɔɔ yúʔ rók ron,แผนกอยุรกรรม
70,病院へ行く,外科,pha nɛ̀ɛk sǎn lá yá kam,แผนกศัลยกรรม
70,病院へ行く,産科,pha nɛ̀ɛk sǔu tìʔ kam,แผนกสูติกรรม
70,病院へ行く,歯科医,mɔ̌ɔ fan than tà phɛ̂ɛt,หมอฟัน ทันตแพทย์
70,病院へ行く,献血,bɔɔ ríʔ càak lɯ̂at,บริจาคเลือด
70,病院へ行く,救急車,rót phá yaa baan,รถพยาบาล
70,病院へ行く,患者・病人,khon khây,คนไข้
70,病院へ行く,体温,ʔun hà phuum râaŋ kaay,อุณหภูมิร่างกาย
70,病院へ行く,血圧,khwaam dan loo hìt,ความดันโลหิต
70,病院へ行く,注射する,chìit yaa,ฉีดยา
70,病院へ行く,手術する,phàa tàt,ผ่าตัด
70,病院へ行く,薬を飲む,thaan yaa,ทานยา
70,病院へ行く,症状,ʔaa kaan,อาการ
70,病院へ行く,診察券,bàt khɔɔ yɔɔ khây,บัตรคยไข้
70,病院へ行く,受付,phɛ̌ɛn kràp bàt khon khây,แผนกรับบัตรคนไข้
70,病院へ行く,薬局,pha nɛ̀ɛk càay yaa,แผนกจ่ายยา
71,病気を説明する,外部的に痛い,cèp,เจ็บ
71,病気を説明する,内部的に痛い,pùat,ปวด
71,病気を説明する,熱がある,mii khây,มีไข้
71,病気を説明する,風邪をひく,pen wàt,เป็นหวัด
71,病気を説明する,めまいがする,wian hǔa,เวียนหัว
71,病気を説明する,頭痛がする,pùat hǔa,ปวดหัว
71,病気を説明する,おなかが痛む,pùat thɔ́ɔŋ,ปวดท้อง
71,病気を説明する,下痢をする,thɔ́ɔŋ sǐa,ท้องเสีย
71,病気を説明する,吐く,ʔaa cian,อาเจียน
71,病気を説明する,炎症を起こす,ʔàk sèep,อักเสบ
71,病気を説明する,けがをする,bàat cèp,บาดเจ็บ
71,病気を説明する,包帯,phâa phan phlɛ̌ɛ,ผ้าพันแผล
71,病気を説明する,かゆい,khan,คัน
71,病気を説明する,吐き気がする,khlɯ̂ɯn sây,คลื่นไส้
71,病気を説明する,体温計,khrɯ̂aŋ wát pà rɔ̀ɔt,เครื่องวัดปรอด
71,病気を説明する,病歴,thá bian khon khây,ทะเบียนคนไข้
71,病気を説明する,病室,hɔ̂ɔŋ khon khây,ห้องคนไข้
71,病気を説明する,レントゲン・X線,ʔék sa ree,เอกซเรย์
71,病気を説明する,尿検査,trùat pàt sǎa wáʔ,ตรวจปัสสาวะ
71,病気を説明する,治る,hǎay,หาย
72,病気の名前,中耳炎,hǔu ʔàk sèep,หูอักเสบ
72,病気の名前,盲腸炎,sây tìŋ ʔàk sèep,ไส้ติ่งอักเสบ
72,病気の名前,心臓マヒ,hǔa cay waay,หัวใจวาย
72,病気の名前,痔,rít sǐi duaŋ thá waan,ริดสีดวงทวาร
72,病気の名前,高血圧,khwaam daŋ loo hìt sǔuŋ,ความดังโลหิตสูง
72,病気の名前,肝炎,tàp ʔàk sèep,ตับอักเสบ
72,病気の名前,肺炎,pɔ̀ɔt ʔàk sèep,ปอดอักเสบ
72,病気の名前,癌,máʔ reŋ,มะเร็ง
72,病気の名前,結核,wan ná rôok,วัณโรค
72,病気の名前,はしか,rôok hàt,โรคหัด
72,病気の名前,風疹,hàt yəə rá man,หัดเยอรมัน
72,病気の名前,インフルエンザ,khây wàt yày,ไข้หวัดใหญ่
72,病気の名前,マラリア,khây maa laa ria,ไข้มาลาเรีย
72,病気の名前,コレラ,ʔà hìʔ waa,อหิวาต์
72,病気の名前,赤痢,bìt,บิด
72,病気の名前,性病,kaam má rôok,กามโรค
72,病気の名前,皮膚炎,rôok phǐw nǎŋ,โรคผิวหนัง
72,病気の名前,精神病,rôok cìt,โรคจิต
72,病気の名前,疫病,rôok ráʔ bàat,โรคระบาด
72,病気の名前,伝染病,rôok tìt tɔ̀ɔ,โรคติดต่อ
72,病気の名前,エイズ,ʔèet,เอดส์
73,感情を表現する,感情,khwaam rúu sɯ̀k,ความรู้สึก
73,感情を表現する,うれしい・喜ぶ,dii cay,ดีใจ
73,感情を表現する,楽しい,sa nùk,สนุก
73,感情を表現する,つまらない,mây sa nùk,ไม่สนุก
73,感情を表現する,面白い・興味深い,nâa sǒn cay,น่าสนใจ
73,感情を表現する,おかしい・こっけいだ,tà lòk,ตลก
73,感情を表現する,ドキドキする,tɯ̀ɯn tên,ตื่นเต้น
73,感情を表現する,感動する・感銘を受ける,pràʔ tàp cay,ประตับใจ
73,感情を表現する,愛する,rák,รัก
73,感情を表現する,好きだ,chɔ̂ɔp,ชอบ
73,感情を表現する,きらいだ,mây chɔ̂ɔp,ไม่ชอบ
73,感情を表現する,うらやましがる,ʔìt chǎa,อิจฉา
73,感情を表現する,満足する,phɔɔ cay,พอใจ
73,感情を表現する,不満に思う,mây phɔɔ cay,ไม่พอใจ
73,感情を表現する,がっかりする・失望する,phìt wǎŋ,ผิดหวัง
73,感情を表現する,悔しく思う,cèp cay,เจ็บใจ
73,感情を表現する,怒る,kròot,โกรธ
73,感情を表現する,同情する,hěn dûay,เห็นด้วย
73,感情を表現する,憎む,klìat,เกลียด
73,感情を表現する,心配する,pen hùaŋ,เป็นห่วง
73,感情を表現する,恥ずかしい,ʔaay,อาย
74,あなたの性格は,性質・性格,ní sǎy,นิสัย
74,あなたの性格は,性格が良い,ní sǎy dii,นิสัยดี
74,あなたの性格は,性格が悪い,ní sǎy mây dii,นิสัยไม่ดี
74,あなたの性格は,誠実である,sɯ̂ɯ sàt,ซื่อสัตย์
74,あなたの性格は,明るい,râa rəəŋ,ร่าเริง
74,あなたの性格は,積極的である,klâa,กล้า
74,あなたの性格は,悪がしこい,chà làat,ฉลาด
74,あなたの性格は,ケチな,khîi nǐaw,ขี้เหนียว
74,あなたの性格は,厳格な,khêm ŋûat,เข้มงวด
74,あなたの性格は,気が短い,cay rɔ́ɔn,ใจร้อน
74,あなたの性格は,小うるさい,cùk cìk,จุกจิก
74,あなたの性格は,厚かましい,nâa dâan,หน้าด้าน
74,あなたの性格は,勝手な,hěn kɛ̀ɛ tua,เห็นแก่ตัว
74,あなたの性格は,わがままな,ʔaw tɛ̀ɛ cay tua,เอาแต่ใจตัว
74,あなたの性格は,怠け者の・面倒くさい,khîi kìat,ขี้เกียจ
74,あなたの性格は,落ち着いた,sa ŋàa,สง่า
74,あなたの性格は,高慢な・傲慢な,yìŋ,หยิ่ง
74,あなたの性格は,優しい,ʔɔ̀ɔn wǎan,อ่อนหวาน
74,あなたの性格は,親切な,cay dii,ใจดี
74,あなたの性格は,愚かな,ŋôo,โง่
74,あなたの性格は,ほがらかな,yím yɛ́ɛm,ยิ้มแย้ม
75,趣味は何ですか,趣味,ŋaan ʔàʔ dìʔ rèek,งานอดิเรก
75,趣味は何ですか,釣りをする,tòk plaa,ตกปลา
75,趣味は何ですか,読書をする,ʔàan nǎŋ sɯ̌ɯ,อ่านหนังสือ
75,趣味は何ですか,外国語を勉強する,ree  ná phaa sǎa tàŋ pra thêet,เรัยนภาษาต่างประเทศ
75,趣味は何ですか,骨董品を集める,sàʔ sǒm khɔ̌ɔŋ kàw,สะสมของเก่า
75,趣味は何ですか,切手を集める,sàʔ sǒm sa tɛɛm,สะสมแสตมป์
75,趣味は何ですか,コインを集める,sàʔ sǒm rǐan,สะสมเหรียญ
75,趣味は何ですか,散歩をする,dəən lên,เดินเล่น
75,趣味は何ですか,花を栽培する,plùuk dɔ̀ɔk máay,ปลูกดอกไม้
75,趣味は何ですか,歌を歌う,rɔ́ɔŋ phleeŋ,ร้องเพลง
75,趣味は何ですか,踊りを踊る,tên ram,เต้นรำ
75,趣味は何ですか,写真を撮る,thàay rûup,ถ่ายรูป
75,趣味は何ですか,絵を描く,wâat phâap,วาดภาพ
75,趣味は何ですか,トランプをする,lên phây,เล่นไพ่
75,趣味は何ですか,ギターを弾く,lên kii taa,เล่นกีตาร์
75,趣味は何ですか,ピアノを弾く,lên pia noo,เล่นเปียโน
75,趣味は何ですか,楽器,khrɯ̂aŋ don trii,เครื่องดนตรี
75,趣味は何ですか,映画を見る,duu nǎŋ,ดูหนัง
75,趣味は何ですか,宝くじを買う,sɯ́ɯ lɔ́t təə rîi,ซื้อล็อตเตอรี่
75,趣味は何ですか,ディスコ,dìt kôo,ดิสโก้
75,趣味は何ですか,遊園地,sǔan sa nùk,สวนสนุก
76,芸術・芸能に親しむ,芸術,sǐn lá pàʔ,ศิลปะ
76,芸術・芸能に親しむ,陶磁器,khrɯ̂aŋ din phǎw,เครื่องดินเผา
76,芸術・芸能に親しむ,古典文学,wan ná khá dii,วรรณคดี
76,芸術・芸能に親しむ,近代文学,wan ná kam,วรรณกรรม
76,芸術・芸能に親しむ,古典舞踊,nâat tàʔ sǐn,นาฏศิลป์
76,芸術・芸能に親しむ,古典劇・ドラマ・劇,láʔ khɔɔn,ละคร
76,芸術・芸能に親しむ,音楽家,nák don trii,นักดนตรี
76,芸術・芸能に親しむ,作家,nák khǐan,นักเขียน
76,芸術・芸能に親しむ,画家,nák wâat phâap,นักวาดภาพ
76,芸術・芸能に親しむ,人間文化財,pùut chá nii yá bùk khon,ปูชนียบุคคล
76,芸術・芸能に親しむ,ドキュメント,sǎa rá khá dii,สารคดี
76,芸術・芸能に親しむ,俳優,nák sa dɛɛŋ,นักแสดง
76,芸術・芸能に親しむ,主演・主役,naaŋ ʔèek phrá ʔèek,นางเอก พระเอก
76,芸術・芸能に親しむ,サーカス,láʔ khɔɔn sàt,ละครสัตว์
76,芸術・芸能に親しむ,歌手,nák rɔ́ɔŋ,นักร้อง
76,芸術・芸能に親しむ,スター・アイドル,daa raa,ดารา
76,芸術・芸能に親しむ,拍手する,pròp mɯɯ,ปรบมือ
76,芸術・芸能に親しむ,映画館,rooŋ nǎŋ,โรงหนัง
76,芸術・芸能に親しむ,劇場,rooŋ láʔ khɔɔn,โรงละคร
76,芸術・芸能に親しむ,コンサート,khɔɔn sə̀ət,คอนเสิร์ต
76,芸術・芸能に親しむ,美術館,hɔ̌ɔ sǐn,หอศิลป์
77,スポーツが好き,運動する,ʔɔ̀ɔk kam laŋ kaay,ออกกำลังกาย
77,スポーツが好き,スポーツ,kii laa,กีฬา
77,スポーツが好き,選手・スポーツマン,nák kii laa,นักกีฬา
77,スポーツが好き,マラソン,maa raa thɔɔn,มาราธอน
77,スポーツが好き,水泳をする,wâay náam,ว่ายน้ำ
77,スポーツが好き,バドミントン,bɛ̀ɛt min tan,แบดมินตัน
77,スポーツが好き,サッカー,fút bɔɔn,ฟุตบอล
77,スポーツが好き,体操,yim nɛɛ sa tìʔ,ยิมแนสติค
77,スポーツが好き,ボクシング,muay,มวย
77,スポーツが好き,タイ式ボクシング,muay thay,มวยไทย
77,スポーツが好き,タックロー,tàʔ krɔ̂ɔ,ตะกร้อ
77,スポーツが好き,柔道,yuu doo,ยูโด
77,スポーツが好き,スキー,sa kii,สกี
77,スポーツが好き,テニス,theen nít,เทนนิส
77,スポーツが好き,勝つ,chá náʔ,ชนะ
77,スポーツが好き,負ける,phɛ́ɛ,แพ้
77,スポーツが好き,記録・統計,sa thì tìʔ,สถิติ
77,スポーツが好き,応援する,chia,เชียร์
77,スポーツが好き,体育館,rooŋ yim,โรงยิม
77,スポーツが好き,運動場・競技場,sa nǎam kii laa,สนามกีฬา
77,スポーツが好き,プール,sàʔ wâay náam,สระว่ายน้ำ
78,ラジオ・テレビ・新聞・雑誌,ラジオ,wít thá yúʔ,วิทยุ
78,ラジオ・テレビ・新聞・雑誌,テレビ（口語）,thii wii,ทีวี
78,ラジオ・テレビ・新聞・雑誌,ラジオ局,sa thǎa nii wít thá yúʔ,สถานีวิทยุ
78,ラジオ・テレビ・新聞・雑誌,テレビ局,sa thǎa nii thoo rá thát,สถานีโทรทัศน์
78,ラジオ・テレビ・新聞・雑誌,番組・プログラム,raay kaan,รายการ
78,ラジオ・テレビ・新聞・雑誌,中継放送,raay kaan thàay thɔ̂ɔt,รายการถ่ายทอด
78,ラジオ・テレビ・新聞・雑誌,生放送,raay kaan sòt,รายการสด
78,ラジオ・テレビ・新聞・雑誌,録画,théep ban thɯ́k phâap,เทปบันทึกภาพ
78,ラジオ・テレビ・新聞・雑誌,ニュース・知らせ,khàaw,ข่าว
78,ラジオ・テレビ・新聞・雑誌,広告・コマーシャル,khôot sa naa,โฆษณา
78,ラジオ・テレビ・新聞・雑誌,アニメ,kaa tuun,การ์ตูน
78,ラジオ・テレビ・新聞・雑誌,ビデオを撮る,thàay wii dii ʔoo,ถ่ายวีดีโอ
78,ラジオ・テレビ・新聞・雑誌,チャンネル,chɔ̂ɔŋ,ช่อง
78,ラジオ・テレビ・新聞・雑誌,チャンネルを回す,lɯ̂an chɔ̂ɔŋ,เลื่อนช่อง
78,ラジオ・テレビ・新聞・雑誌,新聞,nǎŋ sɯ̌ɯ phim,หนังสือพิมพ์
78,ラジオ・テレビ・新聞・雑誌,週刊誌,waa rá sǎan raay sàp daa,วารสารรายสัปดาห์
78,ラジオ・テレビ・新聞・雑誌,読者,phûu ʔàan,ผู้อ่าน
78,ラジオ・テレビ・新聞・雑誌,記者,nák khàaw,นักข่าว
78,ラジオ・テレビ・新聞・雑誌,本屋,ráan khǎay nǎŋ sɯ̌ɯ,ร้านขายหนังสือ
78,ラジオ・テレビ・新聞・雑誌,小説,ná wá níʔ yaay,นวนิยาย
78,ラジオ・テレビ・新聞・雑誌,童話,níʔ thaan,นิทาน
79,職場で使うことば,会社,bɔɔ rí sàt,บริษัท
79,職場で使うことば,部門・セクション,pha nɛ̀ɛk,แผนก
79,職場で使うことば,オフィス,thîi tham ŋaan,ที่ทำงาน
79,職場で使うことば,給料,ŋən dɯan,เงินเดือน
79,職場で使うことば,ボーナス,boo nát,โบนัส
79,職場で使うことば,管理する,bɔɔ rí hǎan,บริหาร
79,職場で使うことば,係官,câw nâa thîi,เจ้าหน้าที่
79,職場で使うことば,職員,phá nák ŋaan,พนักงาน
79,職場で使うことば,事務員,sa mǐan,เสมียน
79,職場で使うことば,名刺,naam bàt,นามบัตร
79,職場で使うことば,輸出する,sòŋ sǐn kháa ʔɔ̀ɔk,ส่งสินค้าออก
79,職場で使うことば,輸入する,sàŋ sǐn kháa khâw,สั่งสินค้าเข้า
79,職場で使うことば,例・見本,tua yàaŋ,ตัวอย่าง
79,職場で使うことば,投資する,lá wá thun,ลวทุน
79,職場で使うことば,損をする・赤字,khàat thun,ขาดทุน
79,職場で使うことば,儲ける,dâay kam ray,ได้กำไร
79,職場で使うことば,契約する,sǎn yaa,สัญญา
79,職場で使うことば,見積もる,pra məən,ประเมิน
79,職場で使うことば,援助する,chûay lɯ̌a,ช่วยเหลือ
79,職場で使うことば,協力する,rûam mɯɯ,ร่วมมือ
79,職場で使うことば,商標・銘柄・ブランド,yîi hɔ̂ɔ,ยี่ห้อ
80,いろいろな職業,職業,ʔaa chîip,อาชีพ
80,いろいろな職業,軍人,thá hǎan,ทหาร
80,いろいろな職業,公務員,khâa râat chá kaan,ข้าราชการ
80,いろいろな職業,ビジネスマン,nák thúʔ rá kìt,นักธุรกิจ
80,いろいろな職業,大工,châŋ máay,ช่างไม้
80,いろいろな職業,工員,khon ŋaan,คนงาน
80,いろいろな職業,守衛,yaam,ยาม
80,いろいろな職業,銀行員,phá nák ŋaan thá naa khaan,พนักงานธนาคาร
80,いろいろな職業,漁民,chaaw pra moŋ,ชาวประมง
80,いろいろな職業,農民,chaaw naa chaaw rây,ชาวนา ชาวไร่
80,いろいろな職業,用務員,phaan rooŋ,ภารโรง
